n_recs,evals_Linear Regression_rmse,evals_Linear Regression_mae,evals_Linear Regression_r2,evals_Decision Tree_rmse,evals_Decision Tree_mae,evals_Decision Tree_r2,evals_Random Forest_rmse,evals_Random Forest_mae,evals_Random Forest_r2,evals_Gradient Boosted Tree_rmse,evals_Gradient Boosted Tree_mae,evals_Gradient Boosted Tree_r2
1660,0.0374,0.0287,0.4431,0.0185,0.009,0.8637,0.0217,0.0143,0.8126,0.015,0.0062,0.9104
1670,0.0375,0.0287,0.4406,0.019,0.0092,0.8562,0.0213,0.0134,0.8193,0.0162,0.0067,0.8951
1680,0.0375,0.0287,0.4398,0.0186,0.0092,0.8629,0.0213,0.0137,0.8198,0.0149,0.0066,0.9116
1690,0.0375,0.0287,0.4387,0.0183,0.0091,0.8661,0.0209,0.0136,0.8263,0.0158,0.0067,0.9008
1700,0.0376,0.0287,0.4387,0.0183,0.0091,0.8671,0.0219,0.0147,0.8096,0.0155,0.0067,0.9039
1710,0.0375,0.0287,0.4398,0.0181,0.0088,0.8697,0.022,0.0146,0.8076,0.0153,0.0063,0.907
1720,0.0375,0.0287,0.4413,0.0171,0.0083,0.8843,0.0223,0.0156,0.802,0.0147,0.0061,0.9139
1730,0.0376,0.0287,0.4405,0.0171,0.0084,0.8836,0.0212,0.0139,0.8214,0.0149,0.0063,0.9124
1740,0.0377,0.0287,0.4392,0.0173,0.0086,0.8815,0.0214,0.0144,0.8189,0.0137,0.0059,0.9263
1750,0.0377,0.0288,0.4384,0.0165,0.008,0.8918,0.0218,0.015,0.8127,0.0144,0.0059,0.918
1760,0.0377,0.0288,0.438,0.0164,0.0079,0.8946,0.0205,0.0129,0.8341,0.0142,0.0057,0.9202
1770,0.0375,0.0286,0.4438,0.0171,0.0086,0.8842,0.0211,0.0138,0.824,0.0136,0.006,0.9271
1780,0.0376,0.0287,0.4413,0.0169,0.0085,0.8872,0.0216,0.0145,0.8161,0.0134,0.0058,0.9292
1790,0.0376,0.0287,0.4415,0.0171,0.0086,0.8845,0.0209,0.0131,0.828,0.014,0.006,0.9223
1800,0.0376,0.0287,0.4409,0.0163,0.0083,0.8956,0.0219,0.0152,0.8106,0.0133,0.0058,0.9305
1810,0.0376,0.0287,0.4446,0.0174,0.0086,0.8811,0.0205,0.0137,0.8348,0.0139,0.006,0.9239
1820,0.0375,0.0286,0.4445,0.0168,0.0085,0.8892,0.0205,0.0131,0.8348,0.0134,0.006,0.9295
1830,0.0377,0.0287,0.4432,0.0171,0.0085,0.8847,0.021,0.013,0.8274,0.0133,0.0058,0.9304
1840,0.0377,0.0287,0.4429,0.0175,0.0087,0.8799,0.0205,0.0133,0.8355,0.0145,0.0062,0.9172
1850,0.0376,0.0287,0.4442,0.0165,0.0082,0.8938,0.0207,0.0135,0.8313,0.0129,0.0058,0.9345
1860,0.0377,0.0287,0.4424,0.0171,0.0086,0.8847,0.0206,0.0132,0.8338,0.0134,0.006,0.9291
1870,0.0377,0.0287,0.4413,0.0168,0.0083,0.8892,0.0207,0.0133,0.831,0.014,0.006,0.9228
1880,0.0376,0.0287,0.4454,0.0168,0.0083,0.8892,0.02,0.0128,0.8432,0.0142,0.0062,0.9205
1890,0.0376,0.0286,0.4459,0.0172,0.0085,0.8841,0.0204,0.0133,0.837,0.0146,0.0063,0.9165
1900,0.0377,0.0287,0.4438,0.0169,0.0084,0.8877,0.0218,0.0148,0.8137,0.0143,0.0062,0.9196
1910,0.0377,0.0287,0.4437,0.0173,0.0085,0.883,0.0216,0.0144,0.8184,0.0147,0.0063,0.915
1920,0.0379,0.0288,0.4428,0.0166,0.0082,0.8931,0.0205,0.0135,0.837,0.0141,0.006,0.9222
1930,0.0378,0.0289,0.4447,0.0166,0.0082,0.8931,0.0204,0.0131,0.8382,0.0142,0.006,0.9214
1940,0.0379,0.0289,0.4429,0.0165,0.0081,0.894,0.02,0.0132,0.8444,0.0142,0.006,0.9223
1950,0.038,0.0289,0.4428,0.0168,0.0082,0.8916,0.0202,0.0128,0.8426,0.0143,0.006,0.9206
1960,0.038,0.0288,0.4413,0.0158,0.0079,0.9036,0.0213,0.0147,0.8248,0.0126,0.0056,0.9383
1970,0.0381,0.0288,0.4395,0.0158,0.0079,0.9035,0.0201,0.0133,0.8441,0.0126,0.0055,0.9388
1980,0.038,0.0288,0.4389,0.0167,0.0081,0.8919,0.0206,0.0137,0.8358,0.0141,0.006,0.9224
1990,0.038,0.0288,0.4387,0.0163,0.0081,0.8967,0.0203,0.013,0.8394,0.014,0.0059,0.9241
