Datetime|TBH_40|TBV_40|TBH_45|TBV_45|TBH_50|TBV_50|TBH_55|TBV_55|TBH_60|TBV_60|TBH_65|TBV_65|TBH_70|TBV_70|Avg_SM_LC|Avg_STS_LC|Avg_STD_LC|LAI_hants
8/8/2016 14:30|248.57974|266.6142|245.22401|268.68277|238.68819|268.85623|229.10101|267.2952|218.9463|264.54724|205.56578|258.47687|188.29376|246.6053|0.1931579|298.68332|289.4875|5.94
8/8/2016 14:45|248.60037|266.726|245.41708|268.748|238.83203|268.9485|229.49954|267.3883|219.2224|264.55954|206.28851|258.99585|188.6971|246.87497|0.19307895|298.81668|289.5625|5.94
8/8/2016 15:00|248.81024|266.8135|245.52104|269.1019|239.01018|269.2733|229.5072|267.71094|219.28992|264.9153|206.2639|259.12976|188.78082|246.98595|0.1929421|298.88333|289.625|5.94
8/8/2016 15:15|249.62646|267.31433|246.31407|269.57974|239.50606|269.4502|229.81383|267.66324|219.67581|264.9714|206.74828|259.2094|189.19218|247.21313|0.19281052|298.71667|289.6875|5.93
8/8/2016 15:30|249.08424|267.77002|246.02402|269.58258|239.49913|269.60156|230.0265|267.96545|219.8481|265.1727|206.84389|259.38126|189.2414|247.32086|0.19276842|298.68335|289.7625|5.93
8/8/2016 15:45|249.47063|267.43365|246.41646|269.82|239.83113|269.71094|230.23775|268.1959|220.18481|265.42606|207.13304|259.67587|189.42244|247.60112|0.19261579|298.71667|289.8375|5.93
8/8/2016 16:00|249.45909|267.25528|246.14943|269.46075|239.76358|269.60718|230.00371|267.7326|219.8516|264.87906|206.89276|259.0668|189.4579|246.96329|0.19256842|298.65|289.90625|5.93
8/8/2016 16:15|249.97784|267.64545|246.89813|269.88654|240.17757|269.927|230.7425|268.2337|220.57498|265.3368|207.51105|259.58917|189.83482|247.31526|0.19246316|298.5833|289.96875|5.93
8/8/2016 16:30|250.08054|267.60388|246.96924|269.80893|240.2716|269.79648|230.78412|268.03342|220.52925|265.08557|207.63416|259.4623|190.07736|247.03609|0.19242105|298.55|290.03125|5.93
8/8/2016 16:45|249.74234|266.9918|246.68947|269.23376|240.14381|269.1659|230.49753|267.34912|220.356|264.54608|207.45299|258.73175|189.80235|246.48859|0.1923579|298.48334|290.09375|5.93
8/8/2016 17:00|249.99266|267.10403|246.74303|269.03366|240.35037|269.20395|230.89395|267.43268|220.73465|264.52502|207.7643|258.6458|190.09814|246.46094|0.19229473|298.38333|290.1625|5.93
8/8/2016 17:15|249.69063|266.84128|246.38034|268.62183|239.95976|268.51636|230.41095|266.79224|220.4775|263.96194|207.63147|258.1754|190.2056|246.22865|0.19231579|298.18332|290.21875|5.93
8/8/2016 17:30|250.37015|267.2341|247.08563|269.16568|240.69624|269.0701|231.24373|267.30588|221.15565|264.43408|208.30981|258.7064|190.74982|246.35947|0.19227368|298.11667|290.25626|5.93
